height,period,angle_from_north
0.6,6.9,0.06981317
0.5,6.9,6.10865238
0.5,6.75,0.06981317
0.5,7.05,6.24827872
0.4,6.3,5.95157275
0.5,6.6,5.56760031
0.5,6.3,5.86430629
0.5,6.6,5.75958653
0.5,7.2,5.91666616
0.5,7.05,5.58505361
0.5,6.9,5.53269373
0.5,6.6,5.63741348
0.5,6.75,5.02654825
0.5,7.2,4.85201532
0.5,7.95,4.76474886
0.5,7.65,4.74729557
0.5,7.65,4.6600291
0.4,7.2,4.45058959
0.4,7.35,4.50294947
0.4,7.35,4.41568301
0.3,7.2,4.76474886
0.3,6.15,4.71238898
